"","party","fullname","count","score","score2","error","error2"
"1","fdp","Anja_Schulz",984,-0.199543187355593,0.346102738686118,0.0706587725004642,0.0936415912108614
"2","spd","Bastian_Schenk",397,-0.144155527948121,-0.0498898595330232,0.189812878070807,0.183013036757599
"3","cdu","Joachim-Friedrich Martin Josef_Merz",23163,0.0954718986025382,0.738012513659386,0.0209281138524135,0.0252509660345946
"4","fdp","Jan_Olsson",5029,0.082743626134149,0.498552193636436,0.0383322850088162,0.0405777714958948
"5","die linke","Julia Ulrike_Schramm",107436,-0.224979406992385,-0.60320040605496,0.00904006919233332,0.0116646711067061
"6","die linke","Lisa_Ellermann",1772,-0.222308930171697,-0.518646543671129,0.0720705906242815,0.0957614641451883
"7","fdp","Fritz Walter Martin_Neumann",28022,-0.0034218058982936,0.502277155614787,0.0141284174238042,0.0157551327386346
"8","spd","Sanae_Abdi",3930,-0.184609820527175,0.105234044535102,0.0469293126363387,0.0442297844256468
"9","grüne","Mohammad Shahabuddin_Miah",1166,-0.230382870629426,-0.0765124364382428,0.129757667046233,0.0853900140828582
"10","cdu","Thomas Walther_Rachel",2586,-0.0851045518099041,0.903584155221927,0.0427561377357667,0.0657129418946275
"11","fdp","Katharina Johanna_Wieking",271,-0.0442155273941814,0.334529047136667,0.106447430997271,0.137852416653824
"12","csu","Nico_Kauper",331,0.0538027390959245,0.392444137291594,0.0980974948875284,0.122202600434391
"13","afd","Frederick_Kühne",1421,0.817719622622346,-0.200687709500718,0.0812776863142308,0.0535775641917786
"14","spd","Alexander_Geißler",397,0.232074420751276,0.123247091543737,0.212743718056602,0.136036108522815
"15","spd","Angelika_Glöckner",3598,-0.215346160217294,0.365689200718867,0.045002458123814,0.0508818593625253
"16","cdu","Angelika_Westerwelle",1647,0.0658211478488599,0.486506680800642,0.0665176745575607,0.0759822951601695
"17","grüne","Annalena Charlotte Alma_Baerbock",19507,-0.390720544232255,0.0430085070062943,0.0173113382270008,0.0203238523910685
"18","spd","Achim Jürgen_Post",28362,-0.296557589714104,0.411976039436268,0.0128016575616436,0.0165484698112035
"19","die linke","Achim Dieter_Kessler",25593,-0.324846157730181,-0.732185522137814,0.0177878016312525,0.0272265441514097
"20","afd","Gerd Siegfried_Kögler",11325,0.973878459660555,-0.179784790070151,0.0465627358362853,0.0252454380941753
"21","afd","Stephan_Protschka",26849,1.1117598781841,-0.221152841510279,0.0365294363791204,0.0213604151386918
"22","afd","Steffen_Beckmann",64,0.756211490884561,-0.179650215201251,0.25349768562429,0.129633069535877
"23","afd","Thomas_Stephan",54,0.479921388848915,0.82454147410186,0.414495102153164,0.328016000184412
"24","fdp","Grigorios_Aggelidis",9704,-0.00751936811266024,0.428498692290574,0.0251710342923575,0.029197788113288
"25","grüne","Agnes_Krumwiede",358,-0.236701974970203,-0.258644849968403,0.101001386905043,0.13554881055134
"26","grüne","Agnes Monika_Brugger",49125,-0.343032841026331,0.0436768093824701,0.0117025074787373,0.0132907978700369
"27","die linke","Heinrich Alexandra_Hermann",312,-0.703554198960358,-0.912524646764187,0.114227778649997,0.354890314137718
"28","die linke","Gökay_Akbulut",22940,-0.437946727582701,-0.99941305458859,0.0177834779744332,0.0292752063468779
"29","cdu","Annegret_Kramp-Karrenbauer",9640,0.0203001177262205,0.93450520199404,0.0221852449772884,0.0395377752217776
"30","fdp","Christian Alexander_Kulitz",3786,0.0102606266184718,0.489756090179068,0.03751307297159,0.0445120478513484
"31","cdu","Philipp Josef Erich_Albrecht",54,-0.371886597434077,0.477033345149245,0.370046069209757,0.46166073702384
"32","grüne","Alexander_Link",5765,-0.328893454655958,0.0086439511990454,0.0361853820918616,0.0431754133841459
"33","afd","Alexander_Wrese",5143,1.49570837836254,-0.274370227649192,0.0776426188860547,0.0379265631729218
"34","cdu","Alexander Richard_Throm",3215,0.214413025555425,0.436359192952761,0.0604632563333816,0.0545863001116318
"35","grüne","Alexander Martin_Tietz-Latza",27364,-0.272269052552701,0.0342188094997694,0.0163788904451528,0.0156747482540212
"36","die linke","Alexander Soranto_Neu",11797,-0.15000389559725,-0.643596309901915,0.0264233268548322,0.0363158610589673
"37","grüne","Alexandra Juliane_Pichl",4615,-0.298964849910808,0.0532683851491237,0.0371139507249299,0.0347937012560526
"38","fdp","Alexander_Brockmeier",437,-0.222592652467846,0.45349923966336,0.0838105887381047,0.107432290250165
"39","fdp","Alexander_Müller",22816,0.0318702999204959,0.375132249268167,0.0161816747636676,0.0193311133390658
"40","grüne","Alexandra_Werwath",11799,-0.352530837328742,-0.0732571628197856,0.0258787271189912,0.026328752326709
"41","afd","Alice Elisabeth_Weidel",15708,1.35400140019691,-0.271212059874761,0.0365565945019224,0.0196010398947934
"42","spd","Alicia Maria_Bokler",13697,-0.245260151881103,0.160459601673627,0.0227956046527104,0.0264147693072358
"43","csu","Alois Georg Josef_Rainer",2685,-0.0402699205044455,0.874325818665571,0.0483290142238369,0.0655779465797918
"44","die linke","Alper_Özgür",667,-0.328050044590689,-0.819410313940168,0.10462060068508,0.125884426297773
"45","cdu","Amal_Fischer",65,-0.0193440979790436,0.748015982576876,0.170308860532186,0.296108931023207
"46","cdu","Andreas_Mattfeldt",272,-0.340133475736903,0.747355931216385,0.0810851922941899,0.202638824434088
"47","grüne","Anna-Maria_Lanzinger",14876,-0.332774217664304,-0.17894195687582,0.0208259295325826,0.024257812764636
"48","spd","Amina_Yousaf",10828,-0.341910404019582,0.0461101439912449,0.0222365917198215,0.0305499506931105
"49","die linke","Amira_Mohamed Ali",7673,-0.334896683921683,-0.800644499431323,0.0342779678363622,0.0533908141737297
"50","die linke","Amira_Mohamed Ali",6934,-0.334153043201883,-0.837774324296928,0.037299147118992,0.0541093179433324
"51","spd","Selin Ece_Arpaz",9642,-0.224959200688204,-0.193765119801293,0.024666606467273,0.0288037818362315
"52","grüne","Anas_Al-Qura'an",619,-0.503807955251587,-0.00795397318897554,0.0945839004918553,0.187968572462608
"53","grüne","Andreas_Audretsch",33830,-0.345688190848709,-0.165032728379282,0.0160107416446747,0.0176174800244937
"54","die linke","Andreas_Frisch",2534,-0.324335602112404,-0.614520549946627,0.0548550318908777,0.0758322530194708
"55","grüne","Andrea_Müller-Bohn",3756,-0.443659466349154,-0.0418328296041291,0.0465091629258618,0.0389780604421787
"56","csu","Andrea_Lindholz",126,-0.109934269666105,0.333599792704406,0.186965168666567,0.218240295126395
"57","spd","Andreas_Rimkus",15904,-0.29150026173153,0.332991390020559,0.0184905124587688,0.0239881532022868
"58","afd","Andreas_Bleck",4570,1.04109753874083,-0.202367004021815,0.0726029241377369,0.043347974453794
"59","afd","Andreas_Geitz",33,2.5274832684511,-0.846441003274246,0,0
"60","fdp","Andreas_Moring",13669,0.174765033595626,0.23224237292246,0.0286511968656053,0.0276201819950539
"61","csu","Andreas Franz_Scheuer",12648,-0.243072400736798,0.926863937112132,0.0149214828563036,0.029661512859186
"62","cdu","Andreas_Steier",17695,0.0597621735245265,0.725280237035011,0.0199753897658698,0.0260874111592074
"63","die linke","Andrej Konstantin_Hunko",24640,-0.31540357944544,-0.720203321740754,0.0163019864055031,0.0236363385000062
"64","die linke","Anika_Taschke",5995,-0.40476490141015,-0.938678524592106,0.0331545954505416,0.0525234164785109
"65","fdp","Anikó_Merten",67946,-0.0296463025161572,0.492576597561242,0.00849495324857703,0.0113560513004894
"66","die linke","Anja_Krimmling-Schoeffler",14228,-0.372926719020587,-0.525689701419482,0.0221090577661802,0.0327573533108562
"67","die linke","Anja Maria_Mayer",4074,-0.36595966572373,-0.532962863793113,0.041296679415602,0.0623382677786051
"68","spd","Anja Sigrid_Ingenbleek",2704,-0.40234364003784,0.122542739424794,0.0481676377092106,0.0597687798658578
"69","cdu","Anja Maria-Antonia_Karliczek",4518,-0.103468746374881,0.794587640431748,0.034445831047595,0.0633880580760061
"70","csu","Anja_Weisgerber",8645,-0.105145377931435,0.996605147802156,0.0231790403522938,0.041378600856988
"71","die linke","Anke Margarete_Domscheit-Berg",146273,-0.32247002706075,-0.520041235066099,0.00624406485009338,0.00959338955688681
"72","cdu","Anke_Frieling",2250,-0.176578925475213,0.479202693916733,0.0472127351742422,0.0715016294786446
"73","spd","Anke_Hennig",128,0.209124850868329,0.235738824615988,0.438689950469663,0.160730966985338
"74","fdp","Anke_Hillmann-Richter",9776,0.0733890345890769,0.441758628935753,0.0241090093788128,0.0281989336827244
"75","fdp","Anna Patrizia_Neumann",28972,0.0589993421510762,0.275816255235192,0.017396477886399,0.0170726332781506
"76","csu","Anna-Maria_Auerhahn",228,0.0927153643897588,0.495729673116124,0.14259429390397,0.22915678074582
"77","grüne","Anna Maria_Christmann",27370,-0.396051658510342,0.347465564045743,0.0130455798316012,0.0173896375994133
"78","grüne","Anna Sophie_Emmendörffer",5386,-0.404486218795057,-0.0857279321153087,0.0331889421165977,0.0388517882813569
"79","spd","Anna Katharina_Kassautzki",15998,-0.217335196076937,-0.0153533073950028,0.0203660103391159,0.0220017243304448
"80","cdu","Anna_Kreye",1055,0.1042394835747,0.849961776980976,0.0849803303498872,0.140034772152689
"81","fdp","Anna_Kryszan",97,0.174865136777507,0.0225290331178418,0.169876444258864,0.243558415754539
"82","grüne","Anna Leonore_Kipp",472,-0.545483828977496,-0.0246162671564765,0.141852979557792,0.1009321045428
"83","grüne","Anna Kristina_Lührmann",13268,-0.331011503079647,0.125009956392292,0.0232754225634372,0.0242682406520927
"84","fdp","Ann Cathrin_Riedel",228143,-0.0748644544496194,0.177011778486651,0.00535824863878704,0.0058280244036715
"85","spd","Anne_Bressem",33638,-0.0635327179735656,0.283399780113158,0.0147005647991322,0.0179751577613643
"86","cdu","Anne_König",733,-0.0237288920721151,0.979853969838079,0.109766059567668,0.193465081495493
"87","grüne","Anne Monika_Spallek",20896,-0.374537903176147,0.160155591446544,0.0173828638445145,0.0185187622228635
"88","spd","Anne_Stamm",1679,-0.195742105464029,0.285822995454206,0.0549504005417187,0.0620919172740533
"89","grüne","Anne Renate Helga_Thiel-Klein",2653,-0.570015968131122,-0.294193933138825,0.0419841760335794,0.0619427544993857
"90","grüne","Annette_Bottlenberg",11,0,0,NA,NA
"91","die linke","Ann-Christin_Huber",9928,-0.172562242601393,-0.495279063721228,0.0321574572260857,0.0328213413360965
"92","spd","Annika Gisela_Klose",8120,-0.301840598419536,-0.0185191465564334,0.0362569377519983,0.0396820086356896
"93","grüne","Annemarie_Schumacher",954,-0.537430336051102,-0.114807083805636,0.0517296717636476,0.0871495349620098
"94","grüne","Frederik Paul_Antary",18391,-0.299061045963226,-0.236707843573026,0.0209013374548905,0.022647534820742
"95","cdu","Antje_Tillmann",31533,-0.0269535641744108,0.84281469539962,0.0131872154933171,0.0210603372280486
"96","fdp","Anton Marcus Hendrikus_Born",6908,0.0204494775026772,0.351205770155364,0.0355231053723067,0.0383530002623677
"97","grüne","Andrea_Rauch",304,-0.552966802728615,0.134307098674747,0.113405646476294,0.226074065896255
"98","spd","Ariane_Fäscher",5554,-0.325235818365908,0.33271524481488,0.0276273301821263,0.0430490292739545
"99","spd","Johannes_Arlt",9382,-0.198191380677979,0.422554308030117,0.0248090380567247,0.0307307434903748
"100","spd","Armand_Zorn",3028,-0.445773537258837,0.107379597021768,0.0493616979718857,0.0690648416708715
"101","cdu","Armin_Laschet",19935,-0.0333513179937682,0.747517501074711,0.0182012515135865,0.0241014256007946
"102","cdu","Armin_Schwarz",1344,0.201945817352603,0.859877019131419,0.0902918053379856,0.0940830143870925
"103","cdu","Arnd_Hilwig",22428,0.0907643933626038,0.709442935042584,0.0192161974303461,0.0248518698101142
"104","die linke","Ates Nils_Gürpinar",13550,-0.319829142726441,-0.71200792304316,0.0261601332285725,0.0355017990348299
"105","fdp","Ann-Veruschka_Jurisch",37,-0.203374632373369,0.796444772050903,0.1262918290199,0.392453608867547
"106","grüne","Awet_Tesfaiesus",8103,-0.389990199094733,-0.212224678323876,0.028649074146066,0.0312958332155486
"107","cdu","Annette_Widmann-Mauz",24342,-0.05809987798666,0.712676235600296,0.0164167151676877,0.0236265964227609
"108","cdu","Axel_Knoerig",1886,-0.0686960844737548,0.495466604515277,0.0501544332241105,0.0798690305841483
"109","spd","Aynur_Colpan",5525,-0.358094039332133,0.169008635480411,0.0307409257910727,0.046798963301351
"110","die linke","Bernd Karl_Riexinger",31617,-0.363747180353304,-0.90818573230344,0.0160353461551179,0.0237820673434821
"111","grüne","Maik_Babenhauserheide",34346,-0.189996703623996,-0.00441272043861817,0.016455210599263,0.0144246937767893
"112","grüne","Lisa Hildegard_Badum",13619,-0.424679555675501,0.0575520890751592,0.020826546094236,0.024673447123597
"113","spd","Bärbel_Bas",14329,-0.235400770826811,0.389283302934359,0.0191097691432551,0.0251338419887953
"114","spd","Bärbel_Kofler",8962,-0.331626431780862,-0.000593545649707034,0.0224675094473692,0.0300065255697169
"115","spd","Daniel_Baldy",3571,-0.213210105664924,0.446687340036088,0.0436637328033575,0.0540505288612517
"116","grüne","Baran_Topal",72,-0.264009519383101,-0.0121897769924677,0.297789815844079,0.119330903408048
"117","spd","Barbara Eva_Loth",35,-0.694149344146841,1.0537610773582,0.0438802589728141,0.11139789946686
"118","afd","Christina_Baum",2632,1.56630717560935,-0.391559374269638,0.0922431655972332,0.0522753042042583
"119","spd","Ulrich Matthias_Bausch",112,-0.343127745106342,-0.0472181899950747,0.222787413214875,0.274620738911478
"120","afd","Beatrix_Storch",23691,1.37117725578363,-0.347394494668116,0.0336472697553913,0.0172853650103172
"121","grüne","Behzad_Borhani",9249,-0.222203425320301,0.00146284362809742,0.0318368814637284,0.0294627217708368
"122","afd","Benjamin_Filter",10748,1.04683935676488,-0.225316807666121,0.0488530756108819,0.0278450205467193
"123","fdp","Benjamin_Palfner",17116,0.123334243242383,0.369290283858021,0.0225311047749166,0.0245660841999142
"124","fdp","André_Ludwig",11,-0.182673293431347,1.06170297624959,0,0
"125","fdp","Ralf Markus_Berlingen",8567,0.0675276632745018,0.349353836882745,0.0266665583890358,0.0304543691746959
"126","grüne","Bernd_Schwarz",10460,-0.50786781385783,-0.140180696853245,0.0236869508226897,0.0246527372487913
"127","afd","Bernd_Baumann",2631,1.36304668039999,-0.298826744281195,0.116479932673196,0.0556937090530529
"128","fdp","Bernd_Lange",21805,-0.122915601821908,0.405106378574421,0.0146185725509442,0.0183510932724625
"129","spd","Bernd Helmut_Westphal",1646,-0.203830838997624,0.409166630165868,0.0639538475342687,0.0779211534030211
"130","spd","Bernhard_Daldrup",4541,-0.243826431666303,0.255927794485074,0.0399380390207502,0.0458366080024819
"131","cdu","Bernhard_Schulte",586,0.0159751799783485,1.08523421293388,0.087848403425718,0.142436677661187
"132","fdp","Cornelia_Besser",586,-0.103387724939428,0.501853743382686,0.0956335938077635,0.122880105575017
"133","spd","Bettina_Müller",66211,-0.232316141041192,0.297759338916495,0.00972487472361346,0.0119072581649892
"134","spd","Bettina_Lugk",17460,-0.141864721718406,0.300056347600032,0.0184715968315718,0.0198985024285542
"135","fdp","Bettina_Schiller",48680,0.0512932142421364,0.225048202898407,0.0121040482382305,0.0131647041736718
"136","grüne","Bernhard_Herrmann",27801,-0.298819448435486,0.0538793380626397,0.0150754740394028,0.0159433829105652
"137","grüne","Bettina Martha Lieselotte_Hoffmann",13877,-0.49531788370744,0.0695191108283853,0.0176735269819794,0.0197141508552499
"138","die linke","Bianca Daniela_Steimle",3451,0.0325706708417646,-0.183493502804361,0.0541902558746852,0.0570702704676054
"139","grüne","Misbah_Khan",2009,-0.252056582847974,0.0966434099499064,0.0616955824446501,0.0546539092653637
"140","cdu","Heike_Bruch",174,-0.185055337968758,0.382242906593886,0.164537470189002,0.119923000343875
"141","die linke","Birke_Bull-Bischoff",8082,-0.457204367382137,-0.789374102531483,0.0265279162127,0.0553764665356989
"142","spd","Michael_Richter",50007,-0.137681274302173,0.159986376200922,0.0116829764866027,0.012448402880051
"143","grüne","Björn_Bohnenkamp",990,-0.382321343173727,0.0597067132860699,0.0687913424901861,0.0640524900441819
"144","cdu","Björn Manuel_Simon",38223,-0.0799004753347373,1.05833696095882,0.0101819740727001,0.018595892366275
"145","die linke","Björn_Harras",14807,-0.0730388172350806,-0.561782618826945,0.0301084962850558,0.0297598491228198
"146","spd","Luiza_Licina-Bode",587,-0.197929158725112,0.126715794177561,0.108026811518026,0.146335915986319
"147","fdp","Carsten Ulrich Rudolf_Bode",44,0.672084265332278,-0.533337577433687,0.318578345584393,0.453321757154608
"148","cdu","Leif Erik_Bodin",19,0,0,NA,NA
"149","spd","Bodo_Wißen",4694,-0.308907576772246,0.468228178867219,0.0370326498190408,0.0293083617573334
"150","spd","Jan Moritz_Böcher",10704,-0.177418213231798,0.206670526274439,0.0243994424817068,0.0275912832434256
"151","grüne","Nils_Bollenbach",69,-0.775029956048071,-0.00139629356602387,0.081171984199587,0.264232265535265
"152","grüne","Boris_Mijatovic",3455,-0.29201838164572,0.0672817799303712,0.0422803303120096,0.0439770189035927
"153","fdp","Barnabas Philip_Crocker",3429,0.0798003851733831,0.352674700589281,0.0579337054198279,0.0525837746773493
"154","fdp","Mario_Brandenburg",18789,-0.0451740913977757,0.537732825955393,0.0171098601594008,0.0204804116895315
"155","cdu","Silvia Maria_Breher",1261,-0.0215508718057754,0.907491889916125,0.0658720215630803,0.0836305909407687
"156","csu","Sebastian_Brehm",738,-0.0844035709360883,0.745936836951517,0.0800996958901749,0.141227745300122
"157","spd","Brian_Nickholz",2108,-0.234051187645439,0.324127474050282,0.0556791952118593,0.0643917555711454
"158","grüne","Britta Maria_Haßelmann",75671,-0.40376888006937,0.0809535106062242,0.010471406277503,0.0102110490536626
"159","die linke","Natalie_Brosch",2777,-0.182189946010398,-0.664639213494159,0.0558841326759238,0.0812878820899927
"160","grüne","Jakob_Brunken",3257,-0.305162869283566,0.0259152205320506,0.0431553530968562,0.0407612530208573
"161","die linke","Eva-Maria_Brunnemann",96392,-0.376264965504904,-0.845901003569514,0.008922669936515,0.0123744702689992
"162","spd","Karl Heinz_Brunner",5498,-0.183675863744572,0.127448949831421,0.0405965250399313,0.0453905849324753
"163","grüne","Bruno_Hönel",27760,-0.32283431457381,0.0191645253432784,0.0161266306809643,0.0164203229377883
"164","fdp","Benjamin_Strasser",15743,-0.0118396201584297,0.266303884016374,0.0218823460854407,0.0237333233825568
"165","fdp","Sandra_Bubendorfer-Licht",5382,-0.00205179566702026,0.475195966227984,0.0332495201306555,0.0394321208154879
"166","spd","Burkhard Karl Erich_Blienert",861,-0.122287138141356,0.243432242163521,0.11305255744498,0.0954944905233077
"167","cdu","Sabine_Buder",1090,-0.0154702337687551,0.933656480177319,0.0558753679094547,0.143477897459087
"168","csu","Thomas Gabriel_Buchner",2223,0.117706663413641,0.997581295337047,0.0555093364343817,0.112478963553127
"169","spd","David_Maier",2841,-0.415491373700037,0.509754766552468,0.0248690854599576,0.0314943494039968
"170","grüne","Annkatrin_Esser",11652,-0.586216460506829,-0.285186363723117,0.0226696601753997,0.0264232473782919
"171","fdp","Nicole Marie_Burda",423,-0.0363054009927918,0.153000400424994,0.109523634637594,0.134561205387836
"172","fdp","Karlheinz_Busen",653,-0.0128044033561409,0.676436347113951,0.0681422109180449,0.102941383691382
"173","grüne","Cylia_Ungar",2379,-0.364385624671832,-0.080090327362544,0.0508252188789695,0.0607409174315349
"174","die linke","Clara Anne_Bünger",73575,-0.280460173643282,-0.708277055650772,0.0106524062782443,0.0132678012825215
"175","cdu","Christoph_Bernstiel",438,0.245943032118116,0.392656477144073,0.15928619799934,0.127789640989314
"176","cdu","Carsten_Büttinghaus",788,-0.0533271395378343,0.841153040501082,0.0724618752540926,0.116519111222714
"177","fdp","Christian_Jung",98322,0.0507304879679433,0.574544876488785,0.00718006717651898,0.00863103716235929
"178","fdp","Christian Wolfgang_Lindner",50585,0.0390175601708744,0.596334588475938,0.0109808014127057,0.0133626334559493
"179","cdu","Carsten_Mohrhardt",715,-0.151248468134274,-0.0352182652812443,0.0877278476098472,0.110989319098637
"180","fdp","Christian_Poloczek-Becher",345,0.00992064477154756,0.878416154963592,0.0632552206799933,0.101095741735704
"181","fdp","Christian_Steffen-Stiehl",4659,0.0709087498410341,0.345945993272238,0.0443800516775771,0.045056943235845
"182","fdp","Christine Irene_Aschenberg-Dugnus",6905,0.0539706171719001,0.590974181130278,0.0285716062457928,0.0350122454550858
"183","spd","Cansel_Kiziltepe",38069,-0.348470104523811,0.0257035669911192,0.0120706976780918,0.0172221781363162
"184","die linke","Cansu_Özdemir",20450,-0.451244298037665,-1.11582787980174,0.0188822984492415,0.0296456900291144
"185","die linke","Caren Nicole_Lay",32296,-0.514888762672061,-0.974916435560958,0.01304291898981,0.0240770425380724
"186","grüne","Carina_Flores",23737,-0.319642899605646,-0.24602873687739,0.018471978697222,0.0189669384804495
"187","fdp","Carina_Konrad",26604,0.0210246515287576,0.611028384217546,0.0137963190073482,0.0186905600500657
"188","fdp","Carl Jean Marie_Grouwet",33123,0.0528136175367977,0.313880721601745,0.0157557217457743,0.0161274118604358
"189","spd","Carlos_Kasper",11376,-0.226968126815163,0.093714122395179,0.0263584847835865,0.0311627932722841
"190","cdu","Carmen Alexandra_Jäger",2502,-0.019098555371772,0.722774232923841,0.04668584882681,0.077870929738425
"191","spd","Carmen_Wegge",9411,-0.224674844093304,0.0539568223590091,0.0283880000807069,0.0304423163616326
"192","grüne","Carolin_Renner",1510,-0.426723015194027,-0.340360194723882,0.0605909718833634,0.0608645133881669
"193","cdu","Caroline Anne Marie_Lünenschloss",2455,-0.0184732364218815,0.309009263771175,0.0779008007773394,0.0749595440646172
"194","die linke","Carsten_Preuß",1039,-0.367450374762927,-0.22277811922116,0.0650918661158634,0.074054884543178
"195","spd","Carsten Holger_Gerloff",13,0,0,NA,NA
"196","cdu","Carsten_Körber",714,0.273001972436875,0.549961976553525,0.189129802324829,0.198474940172495
"197","spd","Carsten Dietmar_Träger",2535,-0.172946291928824,0.213779283255099,0.0578120666886323,0.0501893787220023
"198","spd","Catharina Brigitte_Bockelmann",5730,-0.234406444939291,0.218230393796164,0.0335647459551638,0.0378420379256774
"199","die linke","Camila_Cirlini",1568,-0.268930067735956,-0.456176853827454,0.0623183601204098,0.0759376173129237
"200","cdu","Torsten_Schweiger",261,0.0822785463384173,0.936919263236274,0.159850543298545,0.214233512490006
"201","die linke","Cedric Nils_Schiele",683,-0.561749671012349,-1.89997425893738,0.128953996627174,0.167558383210402
"202","grüne","Cem_Özdemir",74867,-0.239720525878086,0.0323157849436147,0.0106691248094736,0.0118001969960022
"203","die linke","Christine_Buchholz",14184,-0.360456900468232,-0.899420173858989,0.0238231471520056,0.0323000879706974
"204","die linke","Christian Claus_Weidner",45,0.358489486663778,-0.560174758405192,0.867008609825373,0.291736473214882
"205","grüne","Chantal Johanna Siglinde_Kopf",7738,-0.385364176458786,0.160294566193192,0.0282669260583443,0.0336691889155193
"206","die linke","Charlotte_Schmitz",2911,-0.540266700123612,-1.10243686012934,0.0427335299776488,0.0738913458040976
"207","fdp","Charline_Kappes",2473,-0.113284209507116,0.384933618607712,0.0400728010086916,0.0572085700612043
"208","grüne","Charlotte_Schneidewind-Hartnagel",4755,-0.518064360804684,0.00287818485267896,0.0460227851408082,0.0398287148467738
"209","cdu","Joe_Chialo",6997,-0.0499362862916368,0.67444358901683,0.0290901027552743,0.0472614332046341
"210","grüne","Christoph_Benze",722,-0.186063149918136,0.0818423256001719,0.0892511707199643,0.0834968426564707
"211","afd","Christer_Cremer",7222,1.55471110971709,-0.397873517386763,0.0686134630685985,0.0314190926032629
"212","fdp","Christian_Sauter",469,0.331529518582341,0.743457417567513,0.102781291797642,0.112846472820138
"213","grüne","Christian_Engelke",4439,-0.280320548474285,-0.0906665265095158,0.0379261539479018,0.0434934500815803
"214","cdu","Christina_Ruge",368,0.0913882678619006,0.46976539910128,0.211565445436928,0.213344085670506
"215","cdu","Christoph_Jansen",969,-0.264895740249261,0.405986776154422,0.0844615587156687,0.117549361872321
"216","grüne","Christian_Kühn",30697,-0.455329143058611,-0.0255711275114141,0.0140577091014065,0.0174021606061207
"217","cdu","Christine_Schnittker",143,-0.248366536915681,-0.0867605548165375,0.155665434383789,0.28656579267368
"218","cdu","Christian Josef_Natterer",26170,0.267785067548903,0.391323903550329,0.0238943488220363,0.0220868368601196
"219","die linke","Christiane_Ohnacker",54966,-0.149579805564267,-0.531841645940366,0.0129420018042575,0.0145559999581282
"220","die linke","Christian_Leye",5659,-0.311414910869306,-0.693502613142785,0.0378278228258016,0.049503401147457
"221","fdp","Christian_Dürr",17769,0.0686120983009636,0.477822844984583,0.0215959438818546,0.0252439256200701
"222","cdu","Christian_Hirte",50786,0.104633511822512,0.721250550760932,0.0118495560650988,0.0167480616732008
"223","csu","Christian_Machon",32,-0.163492213562241,2.41632335269804,0.0732004370494206,0.361529500096697
"224","die linke","Christian_Suhr",306,-0.0690560802769979,-0.615180922313513,0.106140312224763,0.200869191330443
"225","afd","Christin_Thüne",56,0.850316875400997,-0.157825397675169,0.444532528154569,0.238222685426658
"226","grüne","Christoph_Arz",365,-0.186235689610185,0.119302077442939,0.197810334612798,0.179588584240972
"227","cdu","Christoph Johannes_Ploß",25810,0.145562824929111,0.737444014601948,0.0203785903844047,0.023906179875244
"228","afd","Christian Friedrich_Wirth",3669,1.37206157557632,-0.236285024781222,0.106643943777037,0.048031280417527
"229","afd","Markus Erhard_Fuchs",533,0.94587790843178,-0.131088224944881,0.204505398540108,0.113061670441773
"230","grüne","Christina-Johanne_Schröder",12991,-0.387649081449736,0.0515117371358272,0.0196063249851007,0.0226964599126892
"231","fdp","Carl-Julius_Cronenberg",3356,0.0765971527784379,0.776574734939474,0.0354192294598198,0.0448422043492088
"232","grüne","Claas Fiete_Goldenstein",16,0.620403093533495,0.00426372502938577,0,0
"233","grüne","Claudia_Laux",7646,-0.331653013461559,-0.017010575055863,0.0282721130415194,0.0297333452049132
"234","spd","Claudia_Moll",768,-0.315688611915865,0.239111244009427,0.0773386303976631,0.12557065675704
"235","die linke","Claus_Scheeres",12,-0.366032943201211,0.0927267394190692,0,0
"236","die linke","Clemens_Jost",60,0.301444389995965,0.0969746568183405,0.283332285024714,0.376527083529913
"237","grüne","Clemens_Wehr",16477,-0.246538919681434,0.0260922131316104,0.0200217941245462,0.0228242981369558
"238","die linke","Cornelia_Möhring",45418,-0.460694530571174,-0.856428671559381,0.0113862231021275,0.018803440831874
"239","grüne","Martha Lina_Stötzel",411,-0.233218581911765,-0.069473215396266,0.150792032705478,0.150630309476738
"240","afd","Corinna_Miazga",6663,1.06283325315111,-0.176077305185285,0.0569675762117683,0.0315784217717923
"241","cdu","Cornelius_Golembiewski",258,0.231613405849005,0.363454652483714,0.16224044424362,0.168556350362744
"242","cdu","Corinna_Franke-Wöller",530,-0.179292584730209,0.868838903284005,0.0483315994682652,0.130930033876251
"243","spd","Christian_Petry",2379,-0.160615399079887,0.439176631530149,0.0433330235623051,0.0522022852653237
"244","die linke","Christoph Josef_Podstawa",4656,-0.393537687981808,-0.914548234078489,0.0401710178016187,0.0593144992058907
"245","grüne","Corinna Martina_Rüffer",4681,-0.367978220784259,0.00159413573015315,0.0392909203283363,0.0406813970727187
"246","grüne","Christian_Tramnitz",7439,-0.358054051896597,0.087057161015278,0.0254078526627119,0.0304321298391622
"247","fdp","Christian Dieter Karl_Völker",4436,0.0866388819725163,0.56964426221872,0.0388993077689526,0.0430184330633358
"248","cdu","Christian Alexander_Stetten",162,-0.148461793274287,1.06351924888359,0.126035309987556,0.219092027626179
"249","grüne","Doris Else_Wagner",6866,-0.3324740194278,0.0336404991752579,0.0297903986899722,0.0320572424427631
"250","fdp","Daniel Stephan_Rüdel",1270,0.108389494142241,0.984760452551337,0.0398472951822195,0.0568255219588519
